PNeID,RA,DEC,Vrad,rmsVrad
NGC4374-271,186.27658,12.90836,957,23
NGC4374-272,186.27667,12.88844,1167,23
NGC4374-273,186.27683,12.90561,1080,23
NGC4374-274,186.27692,12.86944,1156,23
NGC4374-275,186.27729,12.89267,1043,23
NGC4374-276,186.27746,12.93131,1066,23
NGC4374-277,186.27754,12.87586,1005,23
NGC4374-278,186.27775,12.88419,1556,23
NGC4374-279,186.27783,12.90872,1011,23
NGC4374-280,186.27787,12.87972,900,23
NGC4374-281,186.27787,12.91456,773,23
NGC4374-282,186.278,12.88081,826,22
NGC4374-283,186.27817,12.87864,1286,23
NGC4374-284,186.27825,12.88564,1146,23
NGC4374-285,186.27858,12.90606,1587,23
NGC4374-286,186.27883,12.88086,1228,23
NGC4374-287,186.27912,12.88825,1111,23
NGC4374-288,186.27921,12.89961,978,23
NGC4374-289,186.27958,12.93808,1151,23
NGC4374-290,186.27962,12.90969,1409,23
NGC4374-291,186.27992,12.92042,1157,23
NGC4374-292,186.28012,12.82514,1202,23
NGC4374-293,186.28012,12.88514,1039,23
NGC4374-294,186.28017,12.93183,626,23
NGC4374-295,186.28062,12.91739,1206,23
NGC4374-296,186.28104,12.85078,1434,22
NGC4374-297,186.28108,12.90792,1084,24
NGC4374-298,186.28217,12.81097,1301,23
NGC4374-299,186.28237,12.96619,554,23
NGC4374-300,186.28271,12.87781,1178,23
NGC4374-301,186.28283,12.8875,663,23
NGC4374-302,186.28312,12.93797,713,23
NGC4374-303,186.28325,12.898,1209,23
NGC4374-304,186.28329,12.83317,893,23
NGC4374-305,186.28342,12.89153,1121,22
NGC4374-306,186.28346,12.87567,1030,23
NGC4374-307,186.28354,12.87031,893,23
NGC4374-308,186.284,12.87364,1311,23
NGC4374-309,186.28437,12.87094,1089,23
NGC4374-310,186.28442,12.91047,886,23
NGC4374-311,186.28467,12.84272,494,23
NGC4374-312,186.28487,12.87156,1078,23
NGC4374-313,186.28504,12.9135,981,23
NGC4374-314,186.28512,12.87228,1056,23
NGC4374-315,186.28567,12.87764,1108,23
NGC4374-316,186.28571,12.95414,1058,23
NGC4374-317,186.28675,12.85061,1031,23
NGC4374-318,186.28679,12.88631,857,23
NGC4374-319,186.28683,12.89003,759,23
NGC4374-320,186.28696,12.91189,487,23
NGC4374-321,186.28704,12.85042,822,23
NGC4374-322,186.28721,12.84008,883,23
NGC4374-323,186.28721,12.90175,1514,23
NGC4374-324,186.28804,12.85522,1252,23
NGC4374-325,186.28804,12.88453,1041,23
NGC4374-326,186.28812,12.89286,843,23
NGC4374-327,186.28812,12.89569,930,23
NGC4374-328,186.28821,12.85389,1047,23
NGC4374-329,186.28854,12.81167,1280,23
NGC4374-330,186.28858,12.89553,1006,27
